datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2023-12-01 09:15:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,560.8,615.1,560.8,615.1,4000,831050,0
2023-12-01 09:16:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,615.05,619.05,604.95,606.85,3050,831050,1
2023-12-01 09:17:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,608.05,612.4,608.05,610,3400,831300,2
2023-12-01 09:18:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,619.8,628.25,619.8,625.65,850,831300,3
2023-12-01 09:19:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,626,631.1,626,630.55,6850,831300,4
2023-12-01 09:20:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,630.95,631.65,628.65,631.5,4450,830550,5
2023-12-01 09:21:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,627.8,629.95,626.85,626.85,1200,830550,6
2023-12-01 09:22:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,626.5,626.5,618.75,623.3,6150,830550,7
2023-12-01 09:23:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,624,624,622.65,623.3,2850,832300,8
2023-12-01 09:24:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,621.75,623.55,621.75,623,5200,832300,9
2023-12-01 09:25:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,622.5,627.65,622.5,627.65,4200,832300,10
2023-12-01 09:26:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,630,630,629.1,629.1,1000,832800,11
2023-12-01 09:27:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,629.6,629.95,629.1,629.1,1650,832800,12
2023-12-01 09:28:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,627.8,630,627.8,630,2300,832800,13
2023-12-01 09:29:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,632.1,632.1,629.75,629.75,300,830850,14
2023-12-01 09:30:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,631.45,634.8,631.45,633.45,250,830850,15
2023-12-01 09:31:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,633.75,634.9,633.75,634.9,300,830850,16
2023-12-01 09:32:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,634.7,634.7,632.45,634.45,350,830550,17
2023-12-01 09:33:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,633,638.95,633,638,7500,830550,18
2023-12-01 09:34:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,637.5,637.5,630,631.85,700,830550,19
2023-12-01 09:35:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,626.7,626.7,623.7,624.05,2900,831050,20
2023-12-01 09:36:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,627.6,627.6,623.9,624.45,25300,831050,21
2023-12-01 09:37:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,623,623,620.55,620.55,3200,831050,22
2023-12-01 09:38:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,619.6,623.25,619.5,623.2,4600,829650,23
2023-12-01 09:39:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,625.5,627,622.85,624.05,5800,829650,24
2023-12-01 09:40:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,625.6,626.5,623.35,625.35,700,829650,25
2023-12-01 09:41:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,626.3,627.65,623.9,624,1400,828250,26
2023-12-01 09:42:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,624.25,625.4,624.25,624.7,250,828250,27
2023-12-01 09:43:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,624.7,624.7,624,624,1800,828250,28
2023-12-01 09:44:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,624.5,624.5,623,623,50,829350,29
2023-12-01 09:45:00,NIFTY,NFO,Options,28-DEC-23,Call,19800,623,626.95,621.15,626.95,2500,829350,30
