datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2023-12-01 09:15:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,485.2,538.6,485.2,538.6,3350,687050,0
2023-12-01 09:16:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,534.25,534.25,529.95,530,900,687050,1
2023-12-01 09:17:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,530,537.25,529.7,537.25,1700,686950,2
2023-12-01 09:18:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,535.5,545.45,535.5,545,1950,686950,3
2023-12-01 09:19:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,549.6,551.85,545.05,551.05,4250,686950,4
2023-12-01 09:20:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,550.25,553,550.25,553,1200,687050,5
2023-12-01 09:21:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,550,550,548,548.05,1600,687050,6
2023-12-01 09:22:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,544.15,544.6,542.1,544.6,700,687050,7
2023-12-01 09:23:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,544.6,545.05,544,544.8,750,688050,8
2023-12-01 09:24:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,544,544.8,543.25,544.8,200,688050,9
2023-12-01 09:25:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,543.2,548.1,543.2,548.1,500,688050,10
2023-12-01 09:26:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,549,552,549,550,1900,686850,11
2023-12-01 09:27:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,550.95,550.95,550.5,550.5,150,686850,12
2023-12-01 09:28:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,548.1,552,547.4,552,3100,686850,13
2023-12-01 09:29:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,553.85,553.85,552.25,552.25,2050,684000,14
2023-12-01 09:30:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,550.25,553.45,550.25,553.45,100,684000,15
2023-12-01 09:31:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,555,555.65,555,555.65,150,684000,16
2023-12-01 09:32:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,553.3,555.55,553.3,555.55,250,683550,17
2023-12-01 09:33:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,554,559.6,553.6,559.3,26500,683550,18
2023-12-01 09:34:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,557.2,557.2,550,550,550,683550,19
2023-12-01 09:35:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,546.05,546.05,543.9,544.6,4950,665650,20
2023-12-01 09:36:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,545,546,544,544,350,665650,21
2023-12-01 09:37:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,544,544,540.3,540.3,26700,665650,22
2023-12-01 09:38:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,541,546,540,546,1650,653550,23
2023-12-01 09:39:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,546.45,546.45,543.4,544.45,1650,653550,24
2023-12-01 09:40:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,545.25,547.05,543.6,544.8,750,653550,25
2023-12-01 09:41:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,546.7,548.1,545,545,300,653350,26
2023-12-01 09:42:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,544.6,545.6,544.15,544.15,200,653350,27
2023-12-01 09:43:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,545,546.7,544.15,546.55,150,653350,28
2023-12-01 09:44:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,546,546,543.1,543.1,100,653300,29
2023-12-01 09:45:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,544,545.3,544,545.3,50,653300,30
2023-12-01 09:46:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,545.3,547,545.3,545.5,600,653300,31
2023-12-01 09:47:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,545,545.1,543.05,545.1,400,653300,32
2023-12-01 09:48:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,545,547.3,545,547.3,100,653300,33
2023-12-01 09:49:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,553.4,556.7,553.4,556.7,500,653300,34
2023-12-01 09:50:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,556,565,556,565,250,652750,35
2023-12-01 09:51:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,565,569.8,560,567.85,1300,652750,36
2023-12-01 09:52:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,570.6,573,570,572.65,150,652750,37
2023-12-01 09:53:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,573.8,580.55,573.8,580.55,350,651700,38
2023-12-01 09:54:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,581.1,585,581.1,585,100,651700,39
2023-12-01 09:55:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,576.05,576.2,575.3,575.3,100,651700,40
2023-12-01 09:56:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,575.4,585.5,575.4,585.5,700,652250,41
2023-12-01 09:57:00,NIFTY,NFO,Options,28-DEC-23,Call,19900,587.45,587.6,584.85,586.9,450,652250,42
