datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2023-12-01 09:15:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,242.55,258.5,242.55,258,40700,825400,0
2023-12-01 09:16:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,257.65,257.65,252.1,254,38850,825400,1
2023-12-01 09:17:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,253.6,257.15,253.6,257.15,19650,846350,2
2023-12-01 09:18:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,259.6,267.25,259.6,267.25,21450,846350,3
2023-12-01 09:19:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,267.15,270.2,266.8,269.45,23700,846350,4
2023-12-01 09:20:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,269.45,270.6,268.5,268.5,8850,870050,5
2023-12-01 09:21:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,268.5,268.5,264.8,264.8,17550,870050,6
2023-12-01 09:22:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,264.6,264.95,261.2,263,9800,870050,7
2023-12-01 09:23:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,263.55,263.6,262.5,262.65,5400,875700,8
2023-12-01 09:24:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,262.9,263.2,262,263.15,3700,875700,9
2023-12-01 09:25:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,262.55,266.25,262.55,266.25,8600,875700,10
2023-12-01 09:26:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,266.95,268.85,266.95,268.25,16500,882950,11
2023-12-01 09:27:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,268,268.55,267.55,267.9,4000,882950,12
2023-12-01 09:28:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,267.25,269.95,266.5,269.95,5150,882950,13
2023-12-01 09:29:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,269.45,270.8,269.05,269.05,4900,890800,14
2023-12-01 09:30:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,269.05,271.35,268.85,271.35,8950,890800,15
2023-12-01 09:31:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,271.5,272,271.15,271.95,7650,890800,16
2023-12-01 09:32:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,272.05,272.15,270.9,271.1,9300,900500,17
2023-12-01 09:33:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,271.7,275.5,271.7,274.1,21850,900500,18
2023-12-01 09:34:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,273,273,267.75,268.5,7000,900500,19
2023-12-01 09:35:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,268,268,263.6,265.4,8200,910200,20
2023-12-01 09:36:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,265.55,266.2,264,264.75,5450,910200,21
2023-12-01 09:37:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,264,264,262.05,262.05,5500,910200,22
2023-12-01 09:38:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,262,264.9,262,264.75,6600,915950,23
2023-12-01 09:39:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,266.3,267,264.15,264.95,7250,915950,24
2023-12-01 09:40:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,264.5,266.1,264,265.8,2800,915950,25
2023-12-01 09:41:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,265.3,266.1,264.55,265.35,6500,920500,26
2023-12-01 09:42:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,264.6,266,264.2,266,4250,920500,27
2023-12-01 09:43:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,265,265.8,264.75,265.6,1350,920500,28
2023-12-01 09:44:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,265,265.35,262.9,264,2900,920350,29
2023-12-01 09:45:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,263.85,267.2,262.5,264.55,5650,920350,30
2023-12-01 09:46:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,265.2,266.9,265,265.2,3200,920350,31
2023-12-01 09:47:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,265.5,265.9,263.05,264,7900,924350,32
2023-12-01 09:48:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,263.55,269.2,263.2,268.8,11200,924350,33
2023-12-01 09:49:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,268.95,273.35,268.6,272.55,11850,924350,34
2023-12-01 09:50:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,272,277.85,270.25,277.85,57000,912800,35
2023-12-01 09:51:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,279.5,281.6,274.85,281,33050,912800,36
2023-12-01 09:52:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,282.1,284,281,283.6,6900,912800,37
2023-12-01 09:53:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,284,288.25,284,288.25,17900,898100,38
2023-12-01 09:54:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,290.15,295.95,290.15,295.95,12050,898100,39
2023-12-01 09:55:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,293.45,293.45,286.15,288.15,12800,898100,40
2023-12-01 09:56:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,289,296.8,289,296.8,12350,899550,41
2023-12-01 09:57:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,296.35,297.15,294.05,296.55,14450,899550,42
2023-12-01 09:58:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,296,296.9,294.95,295.2,6000,899550,43
2023-12-01 09:59:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,295.25,295.75,291.7,293,11750,897400,44
2023-12-01 10:00:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,293.05,293.05,291.95,291.95,9250,897400,45
2023-12-01 10:01:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,292.05,292.05,290.25,290.8,7550,897400,46
2023-12-01 10:02:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,291.55,292,288.2,292,32600,889400,47
2023-12-01 10:03:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,292.3,293.4,289.9,289.9,17500,889400,48
2023-12-01 10:04:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,290.15,290.15,287.7,287.85,4000,889400,49
2023-12-01 10:05:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,289.5,289.5,283.05,284.1,7250,879650,50
2023-12-01 10:06:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,283.45,284.9,282.85,284.8,2650,879650,51
2023-12-01 10:07:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,284.8,284.8,281.7,281.7,5700,879650,52
2023-12-01 10:08:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,282.6,282.95,276.6,276.6,7650,882700,53
2023-12-01 10:09:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,276.25,278.5,274,278.5,12750,882700,54
2023-12-01 10:10:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,278.55,281.25,277.95,279.1,6400,882700,55
2023-12-01 10:11:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,278.6,287.05,278.6,287.05,12100,873600,56
2023-12-01 10:12:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,286.25,289.05,286.25,289.05,4050,873600,57
2023-12-01 10:13:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,286.3,288.35,286.3,287.95,3500,873600,58
2023-12-01 10:14:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,286.25,287.1,284.1,285,5950,876400,59
2023-12-01 10:15:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,284.5,285,282.6,282.6,5350,876400,60
2023-12-01 10:16:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,282.6,283.25,281.3,281.95,3500,876400,61
2023-12-01 10:17:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,283.1,285.55,283,285.55,3450,879750,62
2023-12-01 10:18:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,285.55,286.8,284.8,285.4,2100,879750,63
2023-12-01 10:19:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,284.5,285.65,282.75,285,5550,879750,64
2023-12-01 10:20:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,284.9,284.9,280.85,282.05,4700,880700,65
2023-12-01 10:21:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,283.3,283.5,280.75,280.75,3350,880700,66
2023-12-01 10:22:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,281.35,281.75,279.1,279.8,6900,880700,67
2023-12-01 10:23:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,278,278.6,276.35,277.95,6250,879950,68
2023-12-01 10:24:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,278.1,279.35,275.65,279.35,4900,879950,69
2023-12-01 10:25:00,NIFTY,NFO,Options,28-DEC-23,Call,20300,280.15,281.15,277.55,279.35,19850,879950,70
