datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2023-12-05 10:56:00,NIFTY,NFO,Options,28-DEC-23,Put,21900,968.05,968.05,968.05,968.05,0,0,0
2023-12-06 13:38:00,NIFTY,NFO,Options,28-DEC-23,Put,21900,911,911,911,911,0,200,1
2023-12-06 14:03:00,NIFTY,NFO,Options,28-DEC-23,Put,21900,889.95,889.95,889.95,889.95,0,300,2
2023-12-06 15:23:00,NIFTY,NFO,Options,28-DEC-23,Put,21900,880.8,880.8,880.8,880.8,0,400,3
2023-12-07 09:19:00,NIFTY,NFO,Options,28-DEC-23,Put,21900,921.7,921.7,921.7,921.7,0,450,4
2023-12-07 12:51:00,NIFTY,NFO,Options,28-DEC-23,Put,21900,891,895,891,895,100,450,5
2023-12-07 13:05:00,NIFTY,NFO,Options,28-DEC-23,Put,21900,891,892,891,892,50,550,6
2023-12-07 15:18:00,NIFTY,NFO,Options,28-DEC-23,Put,21900,883.3,883.3,883.3,883.3,0,650,7
2023-12-08 10:19:00,NIFTY,NFO,Options,28-DEC-23,Put,21900,825,825,825,825,0,650,8
2023-12-08 14:45:00,NIFTY,NFO,Options,28-DEC-23,Put,21900,860.35,863,860.35,863,50,650,9
2023-12-08 14:59:00,NIFTY,NFO,Options,28-DEC-23,Put,21900,865,865,865,865,0,750,10
2023-12-08 15:13:00,NIFTY,NFO,Options,28-DEC-23,Put,21900,819,819,819,819,0,750,11
2023-12-08 15:18:00,NIFTY,NFO,Options,28-DEC-23,Put,21900,825,825,825,825,0,850,12
2023-12-11 09:58:00,NIFTY,NFO,Options,28-DEC-23,Put,21900,827,827,827,827,0,950,13
2023-12-11 10:04:00,NIFTY,NFO,Options,28-DEC-23,Put,21900,830,830,830,830,0,1000,14
2023-12-11 10:06:00,NIFTY,NFO,Options,28-DEC-23,Put,21900,825,825,825,825,0,1000,15
2023-12-11 10:07:00,NIFTY,NFO,Options,28-DEC-23,Put,21900,833.7,833.7,833.7,833.7,0,1000,16
2023-12-11 10:10:00,NIFTY,NFO,Options,28-DEC-23,Put,21900,811.55,811.55,811.55,811.55,0,1050,17
